,종목명,단축코드,확장코드,기초자산코드
1939,KB금융     SP 2309-2,446T9V6S,KR4446T9V6S3,A105560
1940,KB금융     SP 2309-2,446T9VCS,KR4446T9VCS8,A105560
1941,KB금융     SP 2309-2,446T9W6S,KR4446T9W6S2,A105560
1942,KB금융     SP 2309-2,446T9WCS,KR4446T9WCS6,A105560
1943,LG화학     SP 2309-2,447T9TAS,KR4447T9TAS5,A051910
1944,LG화학     SP 2309-2,447T9TBS,KR4447T9TBS3,A051910
1945,LG화학     SP 2309-2,447T9TCS,KR4447T9TCS1,A051910
1946,LG화학     SP 2309-2,447T9V3S,KR4447T9V3S8,A051910
1947,LG화학     SP 2309-2,447T9V6S,KR4447T9V6S1,A051910
1948,LG화학     SP 2309-2,447T9VCS,KR4447T9VCS7,A051910
1949,LG화학     SP 2309-2,447T9W6S,KR4447T9W6S0,A051910
1950,LG화학     SP 2309-2,447T9WCS,KR4447T9WCS5,A051910
1951,미래에셋증 SP 2309-2,448T9TAS,KR4448T9TAS4,A006800
1952,미래에셋증 SP 2309-2,448T9TBS,KR4448T9TBS2,A006800
1953,미래에셋증 SP 2309-2,448T9TCS,KR4448T9TCS0,A006800
1954,미래에셋증 SP 2309-2,448T9V3S,KR4448T9V3S6,A006800
1955,미래에셋증 SP 2309-2,448T9V6S,KR4448T9V6S9,A006800
1956,미래에셋증 SP 2309-2,448T9VCS,KR4448T9VCS6,A006800
1957,미래에셋증 SP 2309-2,448T9W6S,KR4448T9W6S8,A006800
1958,미래에셋증 SP 2309-2,448T9WCS,KR4448T9WCS4,A006800
1959,HD현대인프 SP 2309-2,449T9TAS,KR4449T9TAS3,A042670
1960,HD현대인프 SP 2309-2,449T9TBS,KR4449T9TBS1,A042670
1961,HD현대인프 SP 2309-2,449T9TCS,KR4449T9TCS9,A042670
1962,HD현대인프 SP 2309-2,449T9V3S,KR4449T9V3S4,A042670
1963,HD현대인프 SP 2309-2,449T9V6S,KR4449T9V6S7,A042670
1964,HD현대인프 SP 2309-2,449T9VCS,KR4449T9VCS5,A042670
1965,HD현대인프 SP 2309-2,449T9W6S,KR4449T9W6S6,A042670
1966,HD현대인프 SP 2309-2,449T9WCS,KR4449T9WCS3,A042670
1967,SK하이닉스 SP 2309-2,450T9TAS,KR4450T9TAS9,A000660
1968,SK하이닉스 SP 2309-2,450T9TBS,KR4450T9TBS7,A000660
1969,SK하이닉스 SP 2309-2,450T9TCS,KR4450T9TCS5,A000660
1970,SK하이닉스 SP 2309-2,450T9V3S,KR4450T9V3S2,A000660
1971,SK하이닉스 SP 2309-2,450T9V6S,KR4450T9V6S5,A000660
1972,SK하이닉스 SP 2309-2,450T9VCS,KR4450T9VCS1,A000660
