,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
1417,웨이버스,336060,KR7336060009,0,2645,1425,2035,00001,2035,2,01,N,
1418,원텍,336570,KR7336570007,0,18550,9990,14270,00001,14270,2,01,N,
1419,브랜드엑스코퍼레이션,337930,KR7337930002,0,6480,3495,4990,00001,4990,2,01,N,
1420,뷰노,338220,KR7338220007,0,68200,36800,52500,00001,52500,2,01,N,
1421,아이비김영,339950,KR7339950008,0,2435,1313,1875,00001,1875,2,01,N,
1422,다보링크,340360,KR7340360007,0,1834,988,1411,00001,1411,2,01,N,
1423,세림B&G,340440,KR7340440007,0,2765,1495,2130,00001,2130,2,01,N,
1424,티앤엘,340570,KR7340570001,0,61800,33350,47600,00001,47600,2,01,N,
1425,씨유박스,340810,KR7340810001,0,13160,7100,10130,00001,10130,2,01,N,
1426,유일에너테크,340930,KR7340930007,0,19810,10670,15240,00001,15240,2,01,N,
1427,이노진,344860,KR7344860002,0,4445,2395,3420,00001,3420,2,01,N,
1428,센코,347000,KR7347000002,0,4750,2560,3655,00001,3655,2,01,N,
1429,라이프시맨틱스,347700,KR7347700007,0,5960,3215,4590,00001,4590,2,01,N,
1430,피엔케이피부임상연구,347740,KR7347740003,0,4015,2165,3090,00001,3090,2,01,N,
1431,핌스,347770,KR7347770000,0,7930,4270,6100,00001,6100,2,01,N,
1432,알체라,347860,KR7347860009,0,16250,8750,12500,00001,12500,2,01,N,
1433,엠투아이,347890,KR7347890006,0,11310,6090,8700,00001,8700,2,01,N,
1434,모비릭스,348030,KR7348030008,0,11270,6070,8670,00001,8670,2,01,N,
1435,큐라티스,348080,KR7348080003,0,3925,2115,3020,00001,3020,2,01,N,
1436,고바이오랩,348150,KR7348150004,0,13190,7110,10150,00001,10150,2,01,N,
1437,넥스틴,348210,KR7348210006,0,108200,58400,83300,00001,83300,2,01,N,
1438,뉴로메카,348340,KR7348340001,0,54900,29600,42250,00001,42250,2,01,N,
1439,위드텍,348350,KR7348350000,0,19760,10640,15200,00001,15200,2,01,N,
1440,엔켐,348370,KR7348370008,0,82600,44600,63600,00001,63600,2,01,N,
1441,에스에이티이엔지,351320,KR7351320007,0,4035,2175,3105,00001,3105,2,01,N,
1442,이삭엔지니어링,351330,KR7351330006,0,13270,7150,10210,00001,10210,2,01,N,
1443,씨앤씨인터내셔널,352480,KR7352480008,0,88000,47400,67700,00001,67700,2,01,N,
1444,씨앤투스,352700,KR7352700009,0,4750,2560,3655,00001,3655,2,01,N,
1445,클리노믹스,352770,KR7352770002,0,3060,1650,2355,00001,2355,2,01,N,
1446,오비고,352910,KR7352910004,0,11850,6390,9120,00001,9120,2,01,N,
1447,인바이오,352940,KR7352940001,0,6290,3390,4840,00001,4840,2,01,N,
1448,에이치엠씨제5호스팩,353060,KR7353060007,0,2650,1430,2040,00001,2040,2,01,Y,
1449,휴럼,353190,KR7353190002,0,1526,822,1174,00001,1174,2,01,N,
1450,오토앤,353590,KR7353590003,0,12380,6680,9530,00001,9530,2,01,N,
1451,이지바이오,353810,KR7353810005,0,4680,2520,3600,00001,3600,2,01,N,
1452,엔젠바이오,354200,KR7354200008,0,8350,4510,6430,00001,6430,2,01,N,
1453,알멕,354320,KR7354320004,0,101100,54500,77800,00001,77800,2,01,N,
1454,코스텍시스,355150,KR7355150004,0,4015,2165,3090,00001,3090,2,01,N,
1455,크라우드웍스,355390,KR7355390006,0,79500,42900,61200,00001,61200,2,01,N,
1456,엑스게이트,356680,KR7356680009,0,6660,3600,5130,00001,5130,2,01,N,
1457,티엘비,356860,KR7356860007,0,33950,18350,26150,00001,26150,2,01,N,
1458,싸이버원,356890,KR7356890004,0,13800,7440,10620,00001,10620,2,01,N,
1459,에이치피오,357230,KR7357230002,0,11330,6110,8720,00001,8720,2,01,N,
1460,석경에이티,357550,KR7357550003,0,71500,38500,55000,00001,55000,2,01,N,
1461,아모센스,357580,KR7357580000,0,19120,10300,14710,00001,14710,2,01,N,
1462,솔브레인,357780,KR7357780006,0,313500,169500,241500,00001,241500,2,01,N,
1463,비트나인,357880,KR7357880004,0,9300,5020,7160,00001,7160,2,01,N,
1464,지아이이노베이션,358570,KR7358570000,0,34050,18350,26200,00001,26200,2,01,N,
1465,씨엔알리서치,359090,KR7359090008,0,1718,926,1322,00001,1322,2,01,N,
1466,탑머티리얼,360070,KR7360070007,0,96500,52100,74300,00001,74300,2,01,N,
1467,제노코,361390,KR7361390008,0,23000,12420,17730,00001,17730,2,01,N,
1468,알비더블유,361570,KR7361570005,0,6240,3360,4800,00001,4800,2,01,N,
1469,삼영에스앤씨,361670,KR7361670003,0,7910,4270,6090,00001,6090,2,01,N,
1470,청담글로벌,362320,KR7362320004,0,9940,5360,7650,00001,7650,2,01,N,
1471,진시스템,363250,KR7363250002,0,35350,19050,27200,00001,27200,2,01,N,
1472,모비데이즈,363260,KR7363260001,0,1085,585,835,00001,835,2,01,N,
1473,큐라클,365270,KR7365270008,0,15890,8570,12230,00001,12230,2,01,N,
1474,성일하이텍,365340,KR7365340009,0,162100,87300,124700,00001,124700,2,01,N,
1475,하이딥,365590,KR7365590009,0,2415,1301,1858,00001,1858,2,01,N,
1476,브이씨,365900,KR7365900000,0,6360,3430,4895,00001,4895,2,01,N,
1477,공구우먼,366030,KR7366030005,0,9680,5220,7450,00001,7450,2,01,N,
1478,신한제7호스팩,366330,KR7366330009,0,11400,6140,8770,00001,8770,2,01,Y,
1479,플래티어,367000,KR7367000007,0,13910,7490,10700,00001,10700,2,01,N,
1480,DB금융스팩9호,367360,KR7367360005,0,4930,2660,3795,00001,3795,2,01,Y,
1481,유안타제8호스팩,367480,KR7367480001,0,5120,2760,3940,00001,3940,2,01,Y,
1482,아이씨에이치,368600,KR7368600003,0,6410,3455,4935,00001,4935,2,01,N,
1483,파이버프로,368770,KR7368770004,0,4955,2675,3815,00001,3815,2,01,N,
1484,오에스피,368970,KR7368970000,0,7850,4230,6040,00001,6040,2,01,N,
1485,블리츠웨이,369370,KR7369370002,0,2295,1238,1768,00001,1768,2,01,N,
1486,퓨런티어,370090,KR7370090003,0,40350,21750,31050,00001,31050,2,01,N,
1487,풍원정밀,371950,KR7371950007,0,11280,6080,8680,00001,8680,2,01,N,
1488,윤성에프앤씨,372170,KR7372170001,0,238000,128300,183200,00001,183200,2,01,N,
1489,하나머스트7호스팩,372290,KR7372290007,0,3125,1685,2405,00001,2405,2,01,Y,
1490,아이티아이즈,372800,KR7372800003,0,10620,5720,8170,00001,8170,2,01,N,
1491,엠아이큐브솔루션,373170,KR7373170000,0,35250,19050,27150,00001,27150,2,01,N,
1492,하인크코리아,373200,KR7373200005,0,6290,3390,4840,00001,4840,2,01,N,
1493,유진스팩6호,373340,KR7373340009,0,3275,1765,2520,00001,2520,2,01,Y,
1494,피코그램,376180,KR7376180006,0,8480,4580,6530,00001,6530,2,01,N,
1495,LB루셈,376190,KR7376190005,0,9450,5090,7270,00001,7270,2,01,N,
1496,씨유테크,376290,KR7376290003,0,4900,2640,3770,00001,3770,2,01,N,
1497,디어유,376300,KR7376300000,0,50200,27100,38650,00001,38650,2,01,N,
1498,노을,376930,KR7376930004,0,8680,4680,6680,00001,6680,2,01,N,
1499,원티드랩,376980,KR7376980009,0,14170,7630,10900,00001,10900,2,01,N,
1500,맥스트,377030,KR7377030002,0,10160,5480,7820,00001,7820,2,01,N,
1501,프롬바이오,377220,KR7377220009,0,10020,5400,7710,00001,7710,2,01,N,
1502,이지트로닉스,377330,KR7377330006,0,11750,6330,9040,00001,9040,2,01,N,
1503,하이제6호스팩,377400,KR7377400007,0,2950,1590,2270,00001,2270,2,01,Y,
1504,리파인,377450,KR7377450002,0,10140,5460,7800,00001,7800,2,01,N,
1505,위니아에이드,377460,KR7377460001,0,4875,2625,3750,00001,3750,2,01,N,
1506,마음AI,377480,KR7377480009,0,47250,25450,36350,00001,36350,2,01,N,
1507,삼성스팩4호,377630,KR7377630009,0,4485,2415,3450,00001,3450,2,01,Y,
1508,필에너지,378340,KR7378340004,0,74200,40000,57100,00001,57100,2,01,N,
1509,샤페론,378800,KR7378800007,0,5980,3225,4605,00001,4605,2,01,N,
1510,삼성머스트스팩5호,380320,KR7380320002,0,3090,1670,2380,00001,2380,2,01,Y,
1511,옵티코어,380540,KR7380540005,0,1751,943,1347,00001,1347,2,01,N,
1512,지아이텍,382480,KR7382480002,0,4965,2675,3820,00001,3820,2,01,N,
1513,지앤비에스 에코,382800,KR7382800001,0,39000,21000,30000,00001,30000,2,01,N,
1514,원준,382840,KR7382840007,0,28850,15550,22200,00001,22200,2,01,N,
1515,범한퓨얼셀,382900,KR7382900009,0,30000,16200,23100,00001,23100,2,01,N,
1516,에코프로에이치엔,383310,KR7383310000,0,117000,63000,90000,00001,90000,2,01,N,
1517,디티앤씨알오,383930,KR7383930005,0,6550,3530,5040,00001,5040,2,01,N,
1518,한화플러스제2호스팩,386580,KR7386580005,0,2845,1535,2190,00001,2190,2,01,Y,
1519,지투파워,388050,KR7388050007,0,13390,7210,10300,00001,10300,2,01,N,
1520,유일로보틱스,388720,KR7388720005,0,30150,16250,23200,00001,23200,2,01,N,
1521,라이콤,388790,KR7388790008,0,3525,1905,2715,00001,2715,2,01,N,
1522,유진스팩7호,388800,KR7388800005,0,3170,1710,2440,00001,2440,2,01,Y,
1523,파로스아이바이오,388870,KR7388870008,0,28700,15500,22100,00001,22100,2,01,N,
1524,자람테크놀로지,389020,KR7389020009,0,41650,22450,32050,00001,32050,2,01,N,
